"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","SD_Card_Module","","SDcard_module:SD_Card_Module","1",""
"A2","BMP280_Module","","BMP280:BMP280_Module","1",""
"BT1","Battery_Cell","~","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal","1",""
"BZ1","Buzzer","~","Buzzer_Beeper:Buzzer_12x9.5RM7.6","1",""
"C1,C3","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C2,C4","0.1uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C5","100n","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"D1","D","~","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","1",""
"D2","Red","~","LED_THT:LED_D3.0mm","1",""
"D3","Yellow","~","LED_THT:LED_D3.0mm","1",""
"D4","Green","~","LED_THT:LED_D3.0mm","1",""
"D5","LED","~","LED_THT:LED_D5.0mm","1",""
"J1,J2","Screw_Terminal_01x02","~","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal","2",""
"J3","RESET","~","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","1",""
"J4","Conn_01x08_Pin","~","MPU6050:MPU6050","1",""
"J5","VDD","~","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","1",""
"Q1,Q2","NMOS_Substrate","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
"R1","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2,R5","220","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R3,R4","125","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R6","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U2","ESP32-DEVKIT-V1","","ESP32-DEVKIT-V1:MODULE_ESP32_DEVKIT_V1","1",""
