Designator,Mid X,Mid Y,Rotation,Layer
A1,187.5,-70.5,90.0,top
A2,187.549999,-92.472,270.0,top
BT1,104.8,-85.0,270.0,top
BZ1,138.6,-78.4,270.0,top
C1,127.55,-73.244888,90.0,top
C2,118.0,-73.244888,90.0,top
C3,120.3074,-59.005212,270.0,top
C4,110.7574,-59.005212,270.0,top
C5,101.755112,-67.0,0.0,top
D1,114.605,-85.6,90.0,top
D2,123.0324,-66.0501,0.0,top
D3,101.0,-109.0,270.0,top
D4,108.5,-109.225,270.0,top
D5,124.0,-82.6,180.0,top
J1,120.4,-109.0,0.0,top
J2,137.4,-109.0,0.0,top
J3,143.4,-60.4,0.0,top
J4,187.942,-96.777,270.0,top
Q1,120.46,-96.655,0.0,top
Q2,137.4,-96.655,0.0,top
R1,139.0,-69.4,180.0,top
R2,112.7574,-66.0501,0.0,top
R3,100.8,-99.2,270.0,top
R4,108.8,-99.4,270.0,top
R5,137.0,-89.2,180.0,top
R6,105.6,-74.0,0.0,top
U1,133.7309,-62.0611,180.0,top
U2,161.2725,-91.6,180.0,top
